# HELP testmetric the value is always 1.0 and there will be one point per hour for the whole year 2021
# TYPE testmetric gauge
testmetric{foo="bar"} 1.0 1.6096788e+06
testmetric{foo="bar"} 1.0 1.6096824e+06
testmetric{foo="bar"} 1.0 1.609686e+06
testmetric{foo="bar"} 1.0 1.6096896e+06
testmetric{foo="bar"} 1.0 1.6096932e+06
testmetric{foo="bar"} 1.0 1.6096968e+06
testmetric{foo="bar"} 1.0 1.6097004e+06
testmetric{foo="bar"} 1.0 1.609704e+06
testmetric{foo="bar"} 1.0 1.6097076e+06
testmetric{foo="bar"} 1.0 1.6097112e+06
testmetric{foo="bar"} 1.0 1.6097148e+06
testmetric{foo="bar"} 1.0 1.6097184e+06
testmetric{foo="bar"} 1.0 1.609722e+06
testmetric{foo="bar"} 1.0 1.6097256e+06
testmetric{foo="bar"} 1.0 1.6097292e+06
testmetric{foo="bar"} 1.0 1.6097328e+06
testmetric{foo="bar"} 1.0 1.6097364e+06
testmetric{foo="bar"} 1.0 1.60974e+06
testmetric{foo="bar"} 1.0 1.6097436e+06
testmetric{foo="bar"} 1.0 1.6097472e+06
testmetric{foo="bar"} 1.0 1.6097508e+06
testmetric{foo="bar"} 1.0 1.6097544e+06
testmetric{foo="bar"} 1.0 1.609758e+06
testmetric{foo="bar"} 1.0 1.6097616e+06
testmetric{foo="bar"} 1.0 1.6097652e+06
testmetric{foo="bar"} 1.0 1.6097688e+06
testmetric{foo="bar"} 1.0 1.6097724e+06
testmetric{foo="bar"} 1.0 1.609776e+06
testmetric{foo="bar"} 1.0 1.6097796e+06
testmetric{foo="bar"} 1.0 1.6097832e+06
testmetric{foo="bar"} 1.0 1.6097868e+06
testmetric{foo="bar"} 1.0 1.6097904e+06
testmetric{foo="bar"} 1.0 1.609794e+06
testmetric{foo="bar"} 1.0 1.6097976e+06
testmetric{foo="bar"} 1.0 1.6098012e+06
testmetric{foo="bar"} 1.0 1.6098048e+06
testmetric{foo="bar"} 1.0 1.6098084e+06
testmetric{foo="bar"} 1.0 1.609812e+06
testmetric{foo="bar"} 1.0 1.6098156e+06
testmetric{foo="bar"} 1.0 1.6098192e+06
testmetric{foo="bar"} 1.0 1.6098228e+06
testmetric{foo="bar"} 1.0 1.6098264e+06
testmetric{foo="bar"} 1.0 1.60983e+06
testmetric{foo="bar"} 1.0 1.6098336e+06
testmetric{foo="bar"} 1.0 1.6098372e+06
testmetric{foo="bar"} 1.0 1.6098408e+06
testmetric{foo="bar"} 1.0 1.6098444e+06
testmetric{foo="bar"} 1.0 1.609848e+06
testmetric{foo="bar"} 1.0 1.6098516e+06
testmetric{foo="bar"} 1.0 1.6098552e+06
testmetric{foo="bar"} 1.0 1.6098588e+06
testmetric{foo="bar"} 1.0 1.6098624e+06
testmetric{foo="bar"} 1.0 1.609866e+06
testmetric{foo="bar"} 1.0 1.6098696e+06
testmetric{foo="bar"} 1.0 1.6098732e+06
testmetric{foo="bar"} 1.0 1.6098768e+06
testmetric{foo="bar"} 1.0 1.6098804e+06
testmetric{foo="bar"} 1.0 1.609884e+06
testmetric{foo="bar"} 1.0 1.6098876e+06
testmetric{foo="bar"} 1.0 1.6098912e+06
testmetric{foo="bar"} 1.0 1.6098948e+06
testmetric{foo="bar"} 1.0 1.6098984e+06
testmetric{foo="bar"} 1.0 1.609902e+06
testmetric{foo="bar"} 1.0 1.6099056e+06
testmetric{foo="bar"} 1.0 1.6099092e+06
testmetric{foo="bar"} 1.0 1.6099128e+06
testmetric{foo="bar"} 1.0 1.6099164e+06
testmetric{foo="bar"} 1.0 1.60992e+06
testmetric{foo="bar"} 1.0 1.6099236e+06
testmetric{foo="bar"} 1.0 1.6099272e+06
testmetric{foo="bar"} 1.0 1.6099308e+06
testmetric{foo="bar"} 1.0 1.6099344e+06
testmetric{foo="bar"} 1.0 1.609938e+06
testmetric{foo="bar"} 1.0 1.6099416e+06
testmetric{foo="bar"} 1.0 1.6099452e+06
testmetric{foo="bar"} 1.0 1.6099488e+06
testmetric{foo="bar"} 1.0 1.6099524e+06
testmetric{foo="bar"} 1.0 1.609956e+06
testmetric{foo="bar"} 1.0 1.6099596e+06
testmetric{foo="bar"} 1.0 1.6099632e+06
testmetric{foo="bar"} 1.0 1.6099668e+06
testmetric{foo="bar"} 1.0 1.6099704e+06
testmetric{foo="bar"} 1.0 1.609974e+06
testmetric{foo="bar"} 1.0 1.6099776e+06
testmetric{foo="bar"} 1.0 1.6099812e+06
testmetric{foo="bar"} 1.0 1.6099848e+06
testmetric{foo="bar"} 1.0 1.6099884e+06
testmetric{foo="bar"} 1.0 1.609992e+06
testmetric{foo="bar"} 1.0 1.6099956e+06
testmetric{foo="bar"} 1.0 1.6099992e+06
testmetric{foo="bar"} 1.0 1.6100028e+06
testmetric{foo="bar"} 1.0 1.6100064e+06
testmetric{foo="bar"} 1.0 1.61001e+06
testmetric{foo="bar"} 1.0 1.6100136e+06
testmetric{foo="bar"} 1.0 1.6100172e+06
testmetric{foo="bar"} 1.0 1.6100208e+06
testmetric{foo="bar"} 1.0 1.6100244e+06
testmetric{foo="bar"} 1.0 1.610028e+06
testmetric{foo="bar"} 1.0 1.6100316e+06
testmetric{foo="bar"} 1.0 1.6100352e+06
testmetric{foo="bar"} 1.0 1.6100388e+06
testmetric{foo="bar"} 1.0 1.6100424e+06
testmetric{foo="bar"} 1.0 1.610046e+06
testmetric{foo="bar"} 1.0 1.6100496e+06
testmetric{foo="bar"} 1.0 1.6100532e+06
testmetric{foo="bar"} 1.0 1.6100568e+06
testmetric{foo="bar"} 1.0 1.6100604e+06
testmetric{foo="bar"} 1.0 1.610064e+06
testmetric{foo="bar"} 1.0 1.6100676e+06
testmetric{foo="bar"} 1.0 1.6100712e+06
testmetric{foo="bar"} 1.0 1.6100748e+06
testmetric{foo="bar"} 1.0 1.6100784e+06
testmetric{foo="bar"} 1.0 1.610082e+06
testmetric{foo="bar"} 1.0 1.6100856e+06
testmetric{foo="bar"} 1.0 1.6100892e+06
testmetric{foo="bar"} 1.0 1.6100928e+06
testmetric{foo="bar"} 1.0 1.6100964e+06
testmetric{foo="bar"} 1.0 1.6101e+06
testmetric{foo="bar"} 1.0 1.6101036e+06
testmetric{foo="bar"} 1.0 1.6101072e+06
testmetric{foo="bar"} 1.0 1.6101108e+06
testmetric{foo="bar"} 1.0 1.6101144e+06
testmetric{foo="bar"} 1.0 1.610118e+06
testmetric{foo="bar"} 1.0 1.6101216e+06
testmetric{foo="bar"} 1.0 1.6101252e+06
testmetric{foo="bar"} 1.0 1.6101288e+06
testmetric{foo="bar"} 1.0 1.6101324e+06
testmetric{foo="bar"} 1.0 1.610136e+06
testmetric{foo="bar"} 1.0 1.6101396e+06
testmetric{foo="bar"} 1.0 1.6101432e+06
testmetric{foo="bar"} 1.0 1.6101468e+06
testmetric{foo="bar"} 1.0 1.6101504e+06
testmetric{foo="bar"} 1.0 1.610154e+06
testmetric{foo="bar"} 1.0 1.6101576e+06
testmetric{foo="bar"} 1.0 1.6101612e+06
testmetric{foo="bar"} 1.0 1.6101648e+06
testmetric{foo="bar"} 1.0 1.6101684e+06
testmetric{foo="bar"} 1.0 1.610172e+06
testmetric{foo="bar"} 1.0 1.6101756e+06
testmetric{foo="bar"} 1.0 1.6101792e+06
testmetric{foo="bar"} 1.0 1.6101828e+06
testmetric{foo="bar"} 1.0 1.6101864e+06
testmetric{foo="bar"} 1.0 1.61019e+06
testmetric{foo="bar"} 1.0 1.6101936e+06
testmetric{foo="bar"} 1.0 1.6101972e+06
testmetric{foo="bar"} 1.0 1.6102008e+06
testmetric{foo="bar"} 1.0 1.6102044e+06
testmetric{foo="bar"} 1.0 1.610208e+06
testmetric{foo="bar"} 1.0 1.6102116e+06
testmetric{foo="bar"} 1.0 1.6102152e+06
testmetric{foo="bar"} 1.0 1.6102188e+06
testmetric{foo="bar"} 1.0 1.6102224e+06
testmetric{foo="bar"} 1.0 1.610226e+06
testmetric{foo="bar"} 1.0 1.6102296e+06
testmetric{foo="bar"} 1.0 1.6102332e+06
testmetric{foo="bar"} 1.0 1.6102368e+06
testmetric{foo="bar"} 1.0 1.6102404e+06
testmetric{foo="bar"} 1.0 1.610244e+06
testmetric{foo="bar"} 1.0 1.6102476e+06
testmetric{foo="bar"} 1.0 1.6102512e+06
testmetric{foo="bar"} 1.0 1.6102548e+06
testmetric{foo="bar"} 1.0 1.6102584e+06
testmetric{foo="bar"} 1.0 1.610262e+06
testmetric{foo="bar"} 1.0 1.6102656e+06
testmetric{foo="bar"} 1.0 1.6102692e+06
testmetric{foo="bar"} 1.0 1.6102728e+06
testmetric{foo="bar"} 1.0 1.6102764e+06
testmetric{foo="bar"} 1.0 1.61028e+06
testmetric{foo="bar"} 1.0 1.6102836e+06
testmetric{foo="bar"} 1.0 1.6102872e+06
testmetric{foo="bar"} 1.0 1.6102908e+06
testmetric{foo="bar"} 1.0 1.6102944e+06
testmetric{foo="bar"} 1.0 1.610298e+06
testmetric{foo="bar"} 1.0 1.6103016e+06
testmetric{foo="bar"} 1.0 1.6103052e+06
testmetric{foo="bar"} 1.0 1.6103088e+06
testmetric{foo="bar"} 1.0 1.6103124e+06
testmetric{foo="bar"} 1.0 1.610316e+06
testmetric{foo="bar"} 1.0 1.6103196e+06
testmetric{foo="bar"} 1.0 1.6103232e+06
testmetric{foo="bar"} 1.0 1.6103268e+06
testmetric{foo="bar"} 1.0 1.6103304e+06
testmetric{foo="bar"} 1.0 1.610334e+06
testmetric{foo="bar"} 1.0 1.6103376e+06
testmetric{foo="bar"} 1.0 1.6103412e+06
testmetric{foo="bar"} 1.0 1.6103448e+06
testmetric{foo="bar"} 1.0 1.6103484e+06
testmetric{foo="bar"} 1.0 1.610352e+06
testmetric{foo="bar"} 1.0 1.6103556e+06
testmetric{foo="bar"} 1.0 1.6103592e+06
testmetric{foo="bar"} 1.0 1.6103628e+06
testmetric{foo="bar"} 1.0 1.6103664e+06
testmetric{foo="bar"} 1.0 1.61037e+06
testmetric{foo="bar"} 1.0 1.6103736e+06
testmetric{foo="bar"} 1.0 1.6103772e+06
testmetric{foo="bar"} 1.0 1.6103808e+06
testmetric{foo="bar"} 1.0 1.6103844e+06
testmetric{foo="bar"} 1.0 1.610388e+06
testmetric{foo="bar"} 1.0 1.6103916e+06
testmetric{foo="bar"} 1.0 1.6103952e+06
testmetric{foo="bar"} 1.0 1.6103988e+06
testmetric{foo="bar"} 1.0 1.6104024e+06
testmetric{foo="bar"} 1.0 1.610406e+06
testmetric{foo="bar"} 1.0 1.6104096e+06
testmetric{foo="bar"} 1.0 1.6104132e+06
testmetric{foo="bar"} 1.0 1.6104168e+06
testmetric{foo="bar"} 1.0 1.6104204e+06
testmetric{foo="bar"} 1.0 1.610424e+06
testmetric{foo="bar"} 1.0 1.6104276e+06
testmetric{foo="bar"} 1.0 1.6104312e+06
testmetric{foo="bar"} 1.0 1.6104348e+06
testmetric{foo="bar"} 1.0 1.6104384e+06
testmetric{foo="bar"} 1.0 1.610442e+06
testmetric{foo="bar"} 1.0 1.6104456e+06
testmetric{foo="bar"} 1.0 1.6104492e+06
testmetric{foo="bar"} 1.0 1.6104528e+06
testmetric{foo="bar"} 1.0 1.6104564e+06
testmetric{foo="bar"} 1.0 1.61046e+06
testmetric{foo="bar"} 1.0 1.6104636e+06
testmetric{foo="bar"} 1.0 1.6104672e+06
testmetric{foo="bar"} 1.0 1.6104708e+06
testmetric{foo="bar"} 1.0 1.6104744e+06
testmetric{foo="bar"} 1.0 1.610478e+06
testmetric{foo="bar"} 1.0 1.6104816e+06
testmetric{foo="bar"} 1.0 1.6104852e+06
testmetric{foo="bar"} 1.0 1.6104888e+06
testmetric{foo="bar"} 1.0 1.6104924e+06
testmetric{foo="bar"} 1.0 1.610496e+06
testmetric{foo="bar"} 1.0 1.6104996e+06
testmetric{foo="bar"} 1.0 1.6105032e+06
testmetric{foo="bar"} 1.0 1.6105068e+06
testmetric{foo="bar"} 1.0 1.6105104e+06
testmetric{foo="bar"} 1.0 1.610514e+06
testmetric{foo="bar"} 1.0 1.6105176e+06
testmetric{foo="bar"} 1.0 1.6105212e+06
testmetric{foo="bar"} 1.0 1.6105248e+06
testmetric{foo="bar"} 1.0 1.6105284e+06
testmetric{foo="bar"} 1.0 1.610532e+06
testmetric{foo="bar"} 1.0 1.6105356e+06
testmetric{foo="bar"} 1.0 1.6105392e+06
testmetric{foo="bar"} 1.0 1.6105428e+06
testmetric{foo="bar"} 1.0 1.6105464e+06
testmetric{foo="bar"} 1.0 1.61055e+06
testmetric{foo="bar"} 1.0 1.6105536e+06
testmetric{foo="bar"} 1.0 1.6105572e+06
testmetric{foo="bar"} 1.0 1.6105608e+06
testmetric{foo="bar"} 1.0 1.6105644e+06
testmetric{foo="bar"} 1.0 1.610568e+06
testmetric{foo="bar"} 1.0 1.6105716e+06
testmetric{foo="bar"} 1.0 1.6105752e+06
testmetric{foo="bar"} 1.0 1.6105788e+06
testmetric{foo="bar"} 1.0 1.6105824e+06
testmetric{foo="bar"} 1.0 1.610586e+06
testmetric{foo="bar"} 1.0 1.6105896e+06
testmetric{foo="bar"} 1.0 1.6105932e+06
testmetric{foo="bar"} 1.0 1.6105968e+06
testmetric{foo="bar"} 1.0 1.6106004e+06
testmetric{foo="bar"} 1.0 1.610604e+06
testmetric{foo="bar"} 1.0 1.6106076e+06
testmetric{foo="bar"} 1.0 1.6106112e+06
testmetric{foo="bar"} 1.0 1.6106148e+06
testmetric{foo="bar"} 1.0 1.6106184e+06
testmetric{foo="bar"} 1.0 1.610622e+06
testmetric{foo="bar"} 1.0 1.6106256e+06
testmetric{foo="bar"} 1.0 1.6106292e+06
testmetric{foo="bar"} 1.0 1.6106328e+06
testmetric{foo="bar"} 1.0 1.6106364e+06
testmetric{foo="bar"} 1.0 1.61064e+06
testmetric{foo="bar"} 1.0 1.6106436e+06
testmetric{foo="bar"} 1.0 1.6106472e+06
testmetric{foo="bar"} 1.0 1.6106508e+06
testmetric{foo="bar"} 1.0 1.6106544e+06
testmetric{foo="bar"} 1.0 1.610658e+06
testmetric{foo="bar"} 1.0 1.6106616e+06
testmetric{foo="bar"} 1.0 1.6106652e+06
testmetric{foo="bar"} 1.0 1.6106688e+06
testmetric{foo="bar"} 1.0 1.6106724e+06
testmetric{foo="bar"} 1.0 1.610676e+06
testmetric{foo="bar"} 1.0 1.6106796e+06
testmetric{foo="bar"} 1.0 1.6106832e+06
testmetric{foo="bar"} 1.0 1.6106868e+06
testmetric{foo="bar"} 1.0 1.6106904e+06
testmetric{foo="bar"} 1.0 1.610694e+06
testmetric{foo="bar"} 1.0 1.6106976e+06
testmetric{foo="bar"} 1.0 1.6107012e+06
testmetric{foo="bar"} 1.0 1.6107048e+06
testmetric{foo="bar"} 1.0 1.6107084e+06
testmetric{foo="bar"} 1.0 1.610712e+06
testmetric{foo="bar"} 1.0 1.6107156e+06
testmetric{foo="bar"} 1.0 1.6107192e+06
testmetric{foo="bar"} 1.0 1.6107228e+06
testmetric{foo="bar"} 1.0 1.6107264e+06
testmetric{foo="bar"} 1.0 1.61073e+06
testmetric{foo="bar"} 1.0 1.6107336e+06
testmetric{foo="bar"} 1.0 1.6107372e+06
testmetric{foo="bar"} 1.0 1.6107408e+06
testmetric{foo="bar"} 1.0 1.6107444e+06
testmetric{foo="bar"} 1.0 1.610748e+06
testmetric{foo="bar"} 1.0 1.6107516e+06
testmetric{foo="bar"} 1.0 1.6107552e+06
testmetric{foo="bar"} 1.0 1.6107588e+06
testmetric{foo="bar"} 1.0 1.6107624e+06
testmetric{foo="bar"} 1.0 1.610766e+06
testmetric{foo="bar"} 1.0 1.6107696e+06
testmetric{foo="bar"} 1.0 1.6107732e+06
testmetric{foo="bar"} 1.0 1.6107768e+06
testmetric{foo="bar"} 1.0 1.6107804e+06
testmetric{foo="bar"} 1.0 1.610784e+06
testmetric{foo="bar"} 1.0 1.6107876e+06
testmetric{foo="bar"} 1.0 1.6107912e+06
testmetric{foo="bar"} 1.0 1.6107948e+06
testmetric{foo="bar"} 1.0 1.6107984e+06
testmetric{foo="bar"} 1.0 1.610802e+06
testmetric{foo="bar"} 1.0 1.6108056e+06
testmetric{foo="bar"} 1.0 1.6108092e+06
testmetric{foo="bar"} 1.0 1.6108128e+06
testmetric{foo="bar"} 1.0 1.6108164e+06
testmetric{foo="bar"} 1.0 1.61082e+06
testmetric{foo="bar"} 1.0 1.6108236e+06
testmetric{foo="bar"} 1.0 1.6108272e+06
testmetric{foo="bar"} 1.0 1.6108308e+06
testmetric{foo="bar"} 1.0 1.6108344e+06
testmetric{foo="bar"} 1.0 1.610838e+06
testmetric{foo="bar"} 1.0 1.6108416e+06
testmetric{foo="bar"} 1.0 1.6108452e+06
testmetric{foo="bar"} 1.0 1.6108488e+06
testmetric{foo="bar"} 1.0 1.6108524e+06
testmetric{foo="bar"} 1.0 1.610856e+06
testmetric{foo="bar"} 1.0 1.6108596e+06
testmetric{foo="bar"} 1.0 1.6108632e+06
testmetric{foo="bar"} 1.0 1.6108668e+06
testmetric{foo="bar"} 1.0 1.6108704e+06
testmetric{foo="bar"} 1.0 1.610874e+06
testmetric{foo="bar"} 1.0 1.6108776e+06
testmetric{foo="bar"} 1.0 1.6108812e+06
testmetric{foo="bar"} 1.0 1.6108848e+06
testmetric{foo="bar"} 1.0 1.6108884e+06
testmetric{foo="bar"} 1.0 1.610892e+06
testmetric{foo="bar"} 1.0 1.6108956e+06
testmetric{foo="bar"} 1.0 1.6108992e+06
testmetric{foo="bar"} 1.0 1.6109028e+06
testmetric{foo="bar"} 1.0 1.6109064e+06
testmetric{foo="bar"} 1.0 1.61091e+06
testmetric{foo="bar"} 1.0 1.6109136e+06
testmetric{foo="bar"} 1.0 1.6109172e+06
testmetric{foo="bar"} 1.0 1.6109208e+06
testmetric{foo="bar"} 1.0 1.6109244e+06
testmetric{foo="bar"} 1.0 1.610928e+06
testmetric{foo="bar"} 1.0 1.6109316e+06
testmetric{foo="bar"} 1.0 1.6109352e+06
testmetric{foo="bar"} 1.0 1.6109388e+06
testmetric{foo="bar"} 1.0 1.6109424e+06
testmetric{foo="bar"} 1.0 1.610946e+06
testmetric{foo="bar"} 1.0 1.6109496e+06
testmetric{foo="bar"} 1.0 1.6109532e+06
testmetric{foo="bar"} 1.0 1.6109568e+06
testmetric{foo="bar"} 1.0 1.6109604e+06
testmetric{foo="bar"} 1.0 1.610964e+06
testmetric{foo="bar"} 1.0 1.6109676e+06
testmetric{foo="bar"} 1.0 1.6109712e+06
testmetric{foo="bar"} 1.0 1.6109748e+06
testmetric{foo="bar"} 1.0 1.6109784e+06
testmetric{foo="bar"} 1.0 1.610982e+06
testmetric{foo="bar"} 1.0 1.6109856e+06
testmetric{foo="bar"} 1.0 1.6109892e+06
testmetric{foo="bar"} 1.0 1.6109928e+06
testmetric{foo="bar"} 1.0 1.6109964e+06
testmetric{foo="bar"} 1.0 1.611e+06
testmetric{foo="bar"} 1.0 1.6110036e+06
testmetric{foo="bar"} 1.0 1.6110072e+06
testmetric{foo="bar"} 1.0 1.6110108e+06
testmetric{foo="bar"} 1.0 1.6110144e+06
testmetric{foo="bar"} 1.0 1.611018e+06
testmetric{foo="bar"} 1.0 1.6110216e+06
testmetric{foo="bar"} 1.0 1.6110252e+06
testmetric{foo="bar"} 1.0 1.6110288e+06
testmetric{foo="bar"} 1.0 1.6110324e+06
testmetric{foo="bar"} 1.0 1.611036e+06
testmetric{foo="bar"} 1.0 1.6110396e+06
testmetric{foo="bar"} 1.0 1.6110432e+06
testmetric{foo="bar"} 1.0 1.6110468e+06
testmetric{foo="bar"} 1.0 1.6110504e+06
testmetric{foo="bar"} 1.0 1.611054e+06
testmetric{foo="bar"} 1.0 1.6110576e+06
testmetric{foo="bar"} 1.0 1.6110612e+06
testmetric{foo="bar"} 1.0 1.6110648e+06
testmetric{foo="bar"} 1.0 1.6110684e+06
testmetric{foo="bar"} 1.0 1.611072e+06
testmetric{foo="bar"} 1.0 1.6110756e+06
testmetric{foo="bar"} 1.0 1.6110792e+06
testmetric{foo="bar"} 1.0 1.6110828e+06
testmetric{foo="bar"} 1.0 1.6110864e+06
testmetric{foo="bar"} 1.0 1.61109e+06
testmetric{foo="bar"} 1.0 1.6110936e+06
testmetric{foo="bar"} 1.0 1.6110972e+06
testmetric{foo="bar"} 1.0 1.6111008e+06
testmetric{foo="bar"} 1.0 1.6111044e+06
testmetric{foo="bar"} 1.0 1.611108e+06
testmetric{foo="bar"} 1.0 1.6111116e+06
testmetric{foo="bar"} 1.0 1.6111152e+06
testmetric{foo="bar"} 1.0 1.6111188e+06
testmetric{foo="bar"} 1.0 1.6111224e+06
testmetric{foo="bar"} 1.0 1.611126e+06
testmetric{foo="bar"} 1.0 1.6111296e+06
testmetric{foo="bar"} 1.0 1.6111332e+06
testmetric{foo="bar"} 1.0 1.6111368e+06
testmetric{foo="bar"} 1.0 1.6111404e+06
testmetric{foo="bar"} 1.0 1.611144e+06
testmetric{foo="bar"} 1.0 1.6111476e+06
testmetric{foo="bar"} 1.0 1.6111512e+06
testmetric{foo="bar"} 1.0 1.6111548e+06
testmetric{foo="bar"} 1.0 1.6111584e+06
testmetric{foo="bar"} 1.0 1.611162e+06
testmetric{foo="bar"} 1.0 1.6111656e+06
testmetric{foo="bar"} 1.0 1.6111692e+06
testmetric{foo="bar"} 1.0 1.6111728e+06
testmetric{foo="bar"} 1.0 1.6111764e+06
testmetric{foo="bar"} 1.0 1.61118e+06
testmetric{foo="bar"} 1.0 1.6111836e+06
testmetric{foo="bar"} 1.0 1.6111872e+06
testmetric{foo="bar"} 1.0 1.6111908e+06
testmetric{foo="bar"} 1.0 1.6111944e+06
testmetric{foo="bar"} 1.0 1.611198e+06
testmetric{foo="bar"} 1.0 1.6112016e+06
testmetric{foo="bar"} 1.0 1.6112052e+06
testmetric{foo="bar"} 1.0 1.6112088e+06
testmetric{foo="bar"} 1.0 1.6112124e+06
testmetric{foo="bar"} 1.0 1.611216e+06
testmetric{foo="bar"} 1.0 1.6112196e+06
testmetric{foo="bar"} 1.0 1.6112232e+06
testmetric{foo="bar"} 1.0 1.6112268e+06
testmetric{foo="bar"} 1.0 1.6112304e+06
testmetric{foo="bar"} 1.0 1.611234e+06
testmetric{foo="bar"} 1.0 1.6112376e+06
testmetric{foo="bar"} 1.0 1.6112412e+06
testmetric{foo="bar"} 1.0 1.6112448e+06
testmetric{foo="bar"} 1.0 1.6112484e+06
testmetric{foo="bar"} 1.0 1.611252e+06
testmetric{foo="bar"} 1.0 1.6112556e+06
testmetric{foo="bar"} 1.0 1.6112592e+06
testmetric{foo="bar"} 1.0 1.6112628e+06
testmetric{foo="bar"} 1.0 1.6112664e+06
testmetric{foo="bar"} 1.0 1.61127e+06
testmetric{foo="bar"} 1.0 1.6112736e+06
testmetric{foo="bar"} 1.0 1.6112772e+06
testmetric{foo="bar"} 1.0 1.6112808e+06
testmetric{foo="bar"} 1.0 1.6112844e+06
testmetric{foo="bar"} 1.0 1.611288e+06
testmetric{foo="bar"} 1.0 1.6112916e+06
testmetric{foo="bar"} 1.0 1.6112952e+06
testmetric{foo="bar"} 1.0 1.6112988e+06
testmetric{foo="bar"} 1.0 1.6113024e+06
testmetric{foo="bar"} 1.0 1.611306e+06
testmetric{foo="bar"} 1.0 1.6113096e+06
testmetric{foo="bar"} 1.0 1.6113132e+06
testmetric{foo="bar"} 1.0 1.6113168e+06
testmetric{foo="bar"} 1.0 1.6113204e+06
testmetric{foo="bar"} 1.0 1.611324e+06
testmetric{foo="bar"} 1.0 1.6113276e+06
testmetric{foo="bar"} 1.0 1.6113312e+06
testmetric{foo="bar"} 1.0 1.6113348e+06
testmetric{foo="bar"} 1.0 1.6113384e+06
testmetric{foo="bar"} 1.0 1.611342e+06
testmetric{foo="bar"} 1.0 1.6113456e+06
testmetric{foo="bar"} 1.0 1.6113492e+06
testmetric{foo="bar"} 1.0 1.6113528e+06
testmetric{foo="bar"} 1.0 1.6113564e+06
testmetric{foo="bar"} 1.0 1.61136e+06
testmetric{foo="bar"} 1.0 1.6113636e+06
testmetric{foo="bar"} 1.0 1.6113672e+06
testmetric{foo="bar"} 1.0 1.6113708e+06
testmetric{foo="bar"} 1.0 1.6113744e+06
testmetric{foo="bar"} 1.0 1.611378e+06
testmetric{foo="bar"} 1.0 1.6113816e+06
testmetric{foo="bar"} 1.0 1.6113852e+06
testmetric{foo="bar"} 1.0 1.6113888e+06
testmetric{foo="bar"} 1.0 1.6113924e+06
